id,searchable_name,location_label,map_location,category,convention_id
18567,"Hall C : Bitewing Games, Events",ICC : Hall C : Bitewing Games,/map?c=27&f=1&lg=73.03420898437501&lt=-19.317530041841493&s=18567&z=6,Events,27
18568,"Hall C : LRG Games, Events",ICC : Hall C : LRG,/map?c=27&f=1&lg=73.03420898437501&lt=-20.138470312451155&s=18568&z=6,Events,27
18569,"Hall C : Happy Camper Games, Events",ICC : Hall C : Happy Camper Games,/map?c=27&f=1&lg=73.03420898437501&lt=-20.715015145512087&s=18569&z=6,Events,27
18570,"Hall C : Bicycle Games, Events",ICC : Hall C : Bicycle Games,/map?c=27&f=1&lg=73.03420898437501&lt=-21.41846256253555&s=18570&z=6,Events,27
18571,"Hall C : Bluencore, Events",ICC : Hall C : Bluencore,/map?c=27&f=1&lg=73.03420898437501&lt=-22.112268748671806&s=18571&z=6,Events,27
18572,"Hall C : Night Crew Games, Events",ICC : Hall C : Night Crew Games,/map?c=27&f=1&lg=73.034296875&lt=-22.75592068148639&s=18572&z=6,Events,27
18573,"Hall C : Road to Infamy Games, Events",ICC : Hall B : Road to Infamy,/map?c=27&f=1&lg=73.034296875&lt=-23.40276490540795&s=18573&z=6,Events,27
18574,"Hall C : NorthStar Game Studio, Events",ICC : Hall B : Northstar Games,/map?c=27&f=1&lg=73.034296875&lt=-24.04646399966658&s=18574&z=6,Events,27
18575," Hall B : Weird Co, Events",ICC : Hall B : Weird Co,/map?c=27&f=1&lg=76.9454296875&lt=-14.8026706745675&s=18575&z=5,Events,27
18576,"Hall B : Diana Jones Awards, Events",ICC : Hall B : Diana Jones Awards,/map?c=27&f=1&lg=76.9454296875&lt=-16.516321275501706&s=18576&z=6,Events,27
18577,"Hall B : Maestro Media, Events",ICC : Hall B : Maestro Media,/map?c=27&f=1&lg=76.9454296875&lt=-17.399037315067716&s=18577&z=6,Events,27
18578,"Hall B : Kinson Key Games, Events",ICC : Hall B : Kinson Key Games,/map?c=27&f=1&lg=76.9454296875&lt=-17.936928637549443&s=18578&z=6,Events,27
18579,"Hall B : Legend Story, Events",ICC : Hall B : Legend Story,/map?c=27&f=1&lg=80.80215820312502&lt=-16.615474683423862&s=18579&z=5,Events,27
18580,"Hall B : Orange, Events",ICC : Hall B : Hall B: Orange,/map?c=27&f=1&lg=86.07621093750004&lt=-14.449149487594399&s=18580&z=5,Events,27
18581,"Hall B : Protocle, Events",ICC : Hall B : Protocle,/map?c=27&f=1&lg=84.855234375&lt=-16.958197654953455&s=18581&z=5,Events,27
18582,"Hall B : Cryptozoic Entertainment, Events",ICC : Hall B : Cryptozoic Entertainment,/map?c=27&f=1&lg=87.53625&lt=-17.4409671130932&s=18582&z=5,Events,27
18583,"Hall B : Purple, Events",ICC : Hall B : Hall B: Purple,/map?c=27&f=1&lg=95.33654296875001&lt=-15.862183496807754&s=18583&z=5,Events,27
18584,"Hall B : No Rails Adventure Team, Events",ICC : Hall B : No Rails Adventure Team,/map?c=27&f=1&lg=102.475986328125&lt=-15.523726054281587&s=18584&z=5,Events,27
18585,"Hall B : TNT Laser Works, Events",ICC : Hall B : TNT Laser Works,/map?c=27&f=1&lg=76.94595703125002&lt=-19.272983927846575&s=18585&z=6,Events,27
18586,"Hall B : Façade Games, Events",ICC : Hall B : Façade Games,/map?c=27&f=1&lg=76.94595703125002&lt=-20.017948710065095&s=18586&z=6,Events,27
18587,"Hall B : Boss Battle Games, Events",ICC : Hall B : Boss Battle,/map?c=27&f=1&lg=76.94595703125002&lt=-20.71797462678681&s=18587&z=6,Events,27
18588,"Hall B : Enginuity, Events",ICC : Hall B : Enginuity Games,/map?c=27&f=1&lg=76.9454296875&lt=-21.346688163744094&s=18588&z=6,Events,27
18589,"Hall B : SFR Inc, Events",ICC : Hall B : SFR,/map?c=27&f=1&lg=76.9454296875&lt=-22.417284821674397&s=18589&z=6,Events,27
18590,"Hall B : Horrible Guild, Events",ICC : Hall B : Horrible Guild,/map?c=27&f=1&lg=76.94595703125002&lt=-23.751320392227036&s=18590&z=6,Events,27
18591,"Hall B : Pokemon, Events",ICC : Hall B : Pokémon,/map?c=27&f=1&lg=79.5821484375&lt=-21.72496682941513&s=18591&z=6,Events,27
18592,"Hall B : Resurrection Games, Events",ICC : Hall B : Resurrection Games,/map?c=27&f=1&lg=82.174921875&lt=-21.72496682941513&s=18592&z=6,Events,27
18593,"Hall B : Outset, Events",ICC : Hall B : Outset Media,/map?c=27&f=1&lg=84.81164062500001&lt=-21.72496682941513&s=18593&z=5,Events,27
18594,"Hall B : Restoration Games, Events",ICC : Hall B : Restoration Games,/map?c=27&f=1&lg=87.39404296875&lt=-21.72496682941513&s=18594&z=6,Events,27
